model_name,horizon,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,1,0.11123898545006194,11.779042938004356,25119.09778244939,25119.09778244939,-25119.09778244939,25119.09778244939
catboost,2,0.07261088525233662,7.534636851141804,14706.245644581999,14706.245644581999,-14706.245644581999,14706.245644581999
ets,1,0.13352556923115685,14.307784455011758,30151.675839225994,30151.675839225994,-30151.675839225994,30151.675839225994
ets,2,0.025080850403997285,2.539936929481688,5079.7500365735905,5079.7500365735905,-5079.7500365735905,5079.7500365735905
lightgbm,1,0.10816180621063828,11.434572635833051,24424.233784036653,24424.233784036653,-24424.233784036653,24424.233784036653
lightgbm,2,0.06201717091604786,6.400177543922019,12560.647711481754,12560.647711481754,-12560.647711481754,12560.647711481754
mlp,1,0.08770604806210476,9.17286256887698,19805.078125,19805.078125,-19805.078125,19805.078125
mlp,2,0.027752533512726194,2.8143054037894766,5620.859375,5620.859375,-5620.859375,5620.859375
naive,1,0.15407949976086302,16.694055864367094,34793.0,34793.0,-34793.0,34793.0
naive,2,0.05685930826770682,5.852309975251172,11516.0,11516.0,-11516.0,11516.0
nbeats,1,0.05885364539971304,6.0638029956099775,13289.859375,13289.859375,-13289.859375,13289.859375
nbeats,2,0.028455344138050214,2.8056170149648247,5763.203125,5763.203125,5763.203125,5763.203125
ridge,1,0.09980732371562918,10.504968781459787,22537.691382873658,22537.691382873658,-22537.691382873658,22537.691382873658
ridge,2,0.08857524083134993,9.267980903404705,17939.58640177746,17939.58640177746,-17939.58640177746,17939.58640177746
seasonal_naive,1,0.22061715055001505,24.79704135826742,49818.0,49818.0,-49818.0,49818.0
seasonal_naive,2,0.13104401708346705,14.023232037703849,26541.0,26541.0,-26541.0,26541.0
