model_name,segment_label,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,stable,0.0929744889704641,9.65683989457308,19912.671713515694,20582.06421089781,-19912.671713515694,19912.671713515694
ets,stable,0.08224973181976199,8.423860692246723,17615.712937899792,21620.909050590748,-17615.712937899792,17615.712937899792
lightgbm,stable,0.08634327191626977,8.917375089877535,18492.440747759203,19420.51836163532,-18492.440747759203,18492.440747759203
mlp,stable,0.05935827144814835,5.993583986333228,12712.96875,14557.389526472096,-12712.96875,12712.96875
naive,stable,0.10811094743280565,11.273182919809134,23154.5,25914.967731023706,-23154.5,23154.5
nbeats,stable,0.044480438756428785,4.434710005287402,9526.53125,10242.92127440422,-3763.328125,9526.53125
ridge,stable,0.09449646614695822,9.886474842432246,20238.638892325558,20368.80326794503,-20238.638892325558,20238.638892325558
seasonal_naive,stable,0.17826435109852526,19.410136697985635,38179.5,39914.018871819964,-38179.5,38179.5
