model_name,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
mlp,0.06496182328749424,7.180666656061848,5545.688933497299,8629.268819081419,671.1944428369342,3069.578125
nbeats,0.06524695416159204,7.316649511700075,5570.030108868635,8692.266118075755,578.0665270142104,3075.369140625
catboost,0.07173201785237818,8.55477907383321,6123.649821539804,8905.885735528129,381.70676713191943,3787.6251402513444
lightgbm,0.07196589265107987,8.358491155392143,6143.6153461717695,11861.026293021585,-665.641515595528,3070.850784179587
ridge,0.0736907502408921,10.931400054115215,6290.86373243315,9093.676535715871,-874.390731847219,4207.604729484752
ets,0.08383070385903289,8.391880309711642,7156.4956639359825,11260.436794956755,656.4083424946489,3743.4842413780625
naive,0.08512514655219633,8.13275811423987,7267.0002057613165,11747.537669227442,-528.667695473251,3494.5
seasonal_naive,0.13432920475477178,16.08194521167717,11467.473456790123,17009.307580997513,-6817.7594650205765,6826.0
