model_name,category,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,FOODS,0.05407038884271549,5.4506215600200605,9395.827223040358,11915.362895870396,-3887.5901070437476,7749.719999721885
catboost,HOBBIES,0.09175216011055244,9.275229006262066,2152.681534500439,2868.5638784800285,961.7932067172901,1665.4815461535054
catboost,HOUSEHOLD,0.11588386587213226,10.938486655217503,6822.4407070786165,9366.956311291568,4070.9172017222154,5090.233654019736
ets,FOODS,0.08410760056190283,8.41844226773298,14615.402255066218,18259.934005402043,2174.8899464736273,12485.592801794555
ets,HOBBIES,0.0736304333015981,7.78064869692579,1727.5110902526528,2332.0197121608976,-81.01798395902651,1319.6949066916113
ets,HOUSEHOLD,0.08707839295942198,8.976549964476156,5126.57364648908,6444.284647662843,-124.64693503065429,4304.876963117782
lightgbm,FOODS,0.0604195794922311,6.324926639459265,10499.127932094332,15950.703974613834,-3655.164809524563,7961.847433859803
lightgbm,HOBBIES,0.11431581648923822,10.429639278494058,2682.068160152466,6642.835884532616,775.1312215113289,1402.1806952598054
lightgbm,HOUSEHOLD,0.08916892888755104,8.320907548223106,5249.649946268512,11113.037761865668,883.1090412266509,3201.4843079153434
mlp,FOODS,0.06066443887491004,6.071450365518442,10541.677218364197,13530.74629885863,1432.249324845679,8614.8515625
mlp,HOBBIES,0.07436383049416766,7.853730834917183,1744.717994068287,2364.3171783833595,32.42916425540123,1325.314453125
mlp,HOUSEHOLD,0.07389916078585629,7.616818767749918,4350.671588059414,5892.516434583553,548.9048394097222,3271.18359375
naive,FOODS,0.09069851517331635,9.190414391519589,15760.707407407408,19420.598090114985,-664.5246913580247,13519.5
naive,HOBBIES,0.07177604999749397,7.575038651242283,1684.0037037037036,2367.2764728196476,-223.9827160493827,1139.5
naive,HOUSEHOLD,0.0739945850038288,7.632821299957736,4356.2895061728395,5590.196400235852,-697.4956790123457,3543.0
nbeats,FOODS,0.05990514050349541,5.999079275317991,10409.733719135802,13505.386398699355,803.0618441358025,8410.890625
nbeats,HOBBIES,0.07805505879426385,8.17947935327098,1831.3212848427854,2463.290654618034,124.49149124710648,1391.85546875
nbeats,HOUSEHOLD,0.07590965054014023,7.771389906511258,4469.035322627315,6180.874385962009,806.6462456597222,3185.970703125
ridge,FOODS,0.06315832647377906,6.345777309282247,10975.040793033832,13904.185679740654,-281.2759047673524,8990.968573863822
ridge,HOBBIES,0.14859999459909093,18.716342606948288,3486.440689950988,4693.597198788744,-1897.625798571983,2643.4239785286845
ridge,HOUSEHOLD,0.0749257440889923,7.732080246115105,4411.109714314629,5720.8937000704345,-444.2704922023215,3551.10830120838
seasonal_naive,FOODS,0.12056425192969382,12.702618424118407,20950.485185185185,26592.384524382025,-9930.366666666667,17351.0
seasonal_naive,HOBBIES,0.1553012953353221,16.565197697236158,3643.666049382716,4328.917275816691,-2160.7635802469135,3344.0
seasonal_naive,HOUSEHOLD,0.1666002232590763,18.978019513676937,9808.26913580247,11918.690938248272,-8362.148148148148,8856.5
