model_name,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
nbeats,0.050562490124014106,5.286775017022592,4394.569371541341,6585.815164319243,328.0901794433594,2622.3857421875
lightgbm,0.05160678023766474,5.4303872258948855,4485.332412230132,6899.421275340027,-1106.1292257721202,2659.549214741948
mlp,0.05205354111725692,5.240617001818692,4524.162020365397,7007.691577434159,434.1941452026367,2399.296875
catboost,0.0600962583588539,6.643504895365098,5223.1837411548795,7678.400539232197,-78.83573322164392,3046.0917336013827
ridge,0.061642961811197716,7.954761283234542,5357.613347012032,7531.1299485208365,-1187.3527611782386,3725.7385033048704
naive,0.07573504676015977,6.748928456797191,6582.407552083333,10733.075126839718,-101.12630208333333,3079.0
ets,0.07771980875082198,7.312032918696869,6754.910414038327,10558.20462065369,543.681695669133,3426.239979142192
seasonal_naive,0.10073586137098965,11.88754546192556,8755.319010416666,12365.218785815872,-3293.38671875,5637.0
