model_name,horizon,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,1,0.05580839421417363,6.033441282753603,4746.720766780487,6804.04801646413,1307.1999688226683,3046.087467872163
catboost,2,0.0564952992546041,5.846188695946579,4893.186159849985,7067.2149938462235,205.89918191775686,2711.1188924356484
catboost,3,0.04974010675715977,5.5859337906818345,4338.049732628406,6556.875913743463,-52.144906932612194,2237.7509633865557
catboost,4,0.055438520306859085,5.900661758213778,4866.179643239075,7081.082881523281,-784.5427400097138,3117.5844208708586
catboost,5,0.06394485902118045,7.58451164450544,5466.107795157289,7785.799621157169,922.5455280785013,3746.555623719194
catboost,6,0.06131634400154148,6.848677438438014,5328.730727185546,7981.9979630185735,-904.0554963378685,3080.7868464534477
catboost,7,0.06792851338408874,7.485007932048185,5952.267119182744,8550.378333416424,-4.52864793523698,3251.8752941444654
catboost,8,0.06988089512336781,7.8636166203333415,6194.227985215505,9211.285912250463,-1321.0587533766463,3263.8738112048923
ets,1,0.08087294392313431,7.037621474409101,6878.558105746774,11547.979000219213,1944.4884763269101,3041.834785929228
ets,2,0.04630759427350452,4.54802465220456,4010.805896856889,5915.448230394297,395.381402591583,1904.4108636415076
ets,3,0.06686175214159969,6.342642583522671,5831.302442051604,8732.339545210978,-216.17415087949232,3280.464195034865
ets,4,0.08254750634668903,7.697649755143753,7245.7019552649845,10813.905653367563,-194.9977969252569,3917.905322344719
ets,5,0.11374597435476926,9.874582343114916,9723.185985638405,15573.32587949082,2109.4619445513417,4676.295231653687
ets,6,0.0738130212556208,6.862876890364135,6414.761363158544,9400.027588439329,737.3741326331286,3506.755684001735
ets,7,0.07383139778087243,7.838246402144558,6469.510069939596,8855.515209510993,-20.242326269565336,3741.141653943807
ets,8,0.08422241696735881,8.294619248671255,7465.4574936498175,10997.894120505744,-405.838116675585,4337.947077140259
lightgbm,1,0.04961036966233485,5.243720947955096,4219.5546967387045,6143.617247019946,612.0123908701732,2695.538624730734
lightgbm,2,0.043746617343776786,4.4495329268496215,3788.9938694213924,5785.793905573462,-740.0734535665824,2202.639496712007
lightgbm,3,0.04541749115103666,4.404229229829467,3961.055739311362,6286.200840112849,-934.0429233545992,2290.5920178084834
lightgbm,4,0.050808721089380456,5.342809333881283,4459.793711946618,6727.806951205526,-1541.7263548778803,2759.419993004347
lightgbm,5,0.05734683055433005,6.122397226273208,4902.09787493251,7420.237926181795,458.74538227042075,2938.7625929069764
lightgbm,6,0.050971380243809775,5.3735886264850095,4429.6959405377975,7143.645157951861,-2144.0090567484926,2422.729553720699
lightgbm,7,0.05339794326178539,5.726127998624105,4679.019252371273,7062.685625113448,-1958.6141395670809,2882.9855924844287
lightgbm,8,0.06139960519140138,6.780691517261292,5442.448212581403,8297.218500393974,-2601.3256512029197,3274.6818661431316
mlp,1,0.039962458207024515,4.52677417272539,3398.9623413085938,5043.113595832925,991.3465372721354,2099.640625
mlp,2,0.03718569196164949,3.7283829658127297,3220.7372233072915,5336.657656547368,388.6739501953125,1589.216796875
mlp,3,0.039910956026819704,4.042380965216862,3480.8070068359375,5125.73356016931,12.215616861979166,1834.32421875
mlp,4,0.04820280495350388,4.899265599706653,4231.0564371744795,6225.103268556849,-637.9036458333334,2484.228515625
mlp,5,0.07089715546177283,7.3565737213745095,6060.401102701823,9269.671791703611,1976.4802856445312,3294.9130859375
mlp,6,0.05546374899533234,5.218106815280296,4820.107727050781,7522.473093832596,1072.752665201823,2145.91015625
mlp,7,0.05940227381307385,5.773960340266808,5205.151468912761,7904.016131355721,296.76820882161456,2908.5703125
mlp,8,0.06516342995652172,6.37949143416629,5776.072855631511,8302.77528659888,-626.7804565429688,3119.0859375
naive,1,0.09620775946817048,7.750055373983159,8182.84375,13807.213046613837,1758.6145833333333,3149.0
naive,2,0.07955786672837206,6.2862965327714475,6890.6875,10839.446261225708,200.22916666666666,3035.0
